Title,RottenTomatoesCritics,RottenTomatoesAudience
Kingdom Come,0.28,0.65
The Mexican,0.56,0.47
The Closet,0.86,0.75
John Carpenter's Ghosts of Mars,0.21,0.29
Vanilla Sky,0.4,0.68
Town & Country,0.13,0.17
Gladiator,0.78,0.85
Chocolat,0.63,0.82
"Crouching Tiger, Hidden Dragon",0.97,0.81
Erin Brokovich,0.84,0.76
Traffic,0.92,0.81
Road Trip,0.57,0.68
Where the Heart Is,0.35,0.76
The Replacements,0.4,0.7
Hollow Man,0.27,0.35
The Nutty Professor II: The Klumps,0.26,0.53
Space Cowboys,0.79,0.5
Meet the Parents,0.84,0.79
Scary Movie,0.53,0.5
Red Planet,0.14,0.31
Get Carter,0.12,0.3
Here on Earth,0.17,0.61
Lucky Numbers,0.22,0.22
Small Time Crooks,0.67,0.54
Eye of the Beholder,0.09,0.33
Loser,0,0
American Beauty,0.88,0.9
The Cider House Rules,0.71,0.75
The Green Mile,0.8,0.93
The Insider,0.96,0.87
The Sixth Sense,0.85,0.87
The Iron Giant,0.97,0.72
The 13th Warrior,0.33,0.66
Payback,0.53,0.67
Tarzan,0.88,0.63
The World Is Not Enough,0.51,0.58
The Story of Us,0.28,0.56
Bringing Out the Dead,0.71,0.64
Doug's First Movie,0.26,0.41
Light it Up,0.38,0.75
Chill Factor,0.07,0.36
200 Cigarettes,0.29,0.53
Foolish,0,0.65
Boys Don't Cry,0.88,0.84
The Mod Squad,0.04,0.21
Twin Dragons,0,0
Shakespeare in Love,0.93,0.76
Elizabeth,0.82,0.85
Life is Beautiful,0.8,0.96
Savng Private Ryan,0.93,0.92
The Thin Red Line,0.78,0.75
The Parent Trap,0.85,0.67
Great Expectations,0.38,0.75
Lethal Weapon 4,0.52,0.7
Jack Frost,0.46,0.16
Bride of Chucky,0.42,0.52
A Bug's Life,0.92,0.61
Can't Hardly Wait,0.44,0.59
Armageddon,0.39,0.77
A Simple Plan,0.9,0.75
American History X,0.82,0.96
Return to Paradise,0.71,0.73
Air Bud: Golden Reciever,0.06,0.41
Ringmaster,0.25,0.19
Soldier,0.1,0.45
Black Dog,0.11,0.61
Titanic,0.87,0.69
As Good as It Gets,0.86,0.81
The Full Monty ,0.95,0.73
Good Will Hunting,0.97,0.92
